t (s),v (m/s)
169.5954497,0
170.6069887,0
171.5967528,0
172.6012005,0
173.5910631,0
174.5827157,0
175.5956829,0
176.586007,0
177.593341,0
178.60116,0
179.6037089,0
180.5959303,0
181.5967005,0
182.6029161,0
183.6132982,0
184.5984377,0
185.5917667,0
186.5845322,0
187.5914783,0
188.5928994,0
189.6068576,0
190.5946264,0
191.5946921,0
192.5782812,0
193.6249823,0
194.5950784,0
195.5969008,0
196.5846178,0
197.5807308,0
198.6026489,0
199.5911914,0
200.601413,0
201.5999916,0
202.6024102,0
203.5957484,0
204.5914793,0
205.5999576,0
206.5970533,0
207.5971581,0.4099999964
208.5947487,0
209.6048706,0
210.59109,0
211.6058398,0
212.5904489,0
213.5935096,0
214.6042038,0
215.5958806,0
216.588345,0
217.5982313,0
218.6067365,0
219.5942474,0
220.5944119,0
221.5967531,0
222.6053149,0
223.5875946,0
224.5912315,0
225.5912311,0
226.5978321,0
227.5952093,0
228.6017524,0
229.5941133,0
230.593877,0
231.5904699,0
232.5964933,0
233.5944962,0
234.6013393,0
235.5999708,0
236.6010238,0
237.5895821,0
238.6008299,0
239.6019345,0
240.603563,0
241.603984,0
242.6020651,0
243.6039244,0.3700000048
244.6021184,0.2899999917
245.5894844,0.2599999905
246.6128842,0.7099999785
247.5984067,1.389999986
248.6040038,1.929999948
249.5952268,2.680000067
250.6025028,3.910000086
251.59265,4.449999809
252.6030255,4.639999866
253.5971117,4.900000095
254.5983111,4.980000019
255.5958336,4.980000019
256.5970208,5.050000191
257.5912033,5.059999943
258.5803863,4.769999981
259.5977706,5.900000095
260.6050316,7.139999866
261.6009606,7.480000019
262.5875336,7.829999924
263.5831363,8.840000153
264.5793444,10
265.5970984,10.78999996
266.6067096,11.52000046
267.6000628,12.01000023
268.5930478,12.27999973
269.5921908,12.11999989
270.5982024,12.30000019
271.5905477,12.40999985
272.5991062,12.56999969
273.6038565,12.75
274.5979835,12.77000046
275.5943914,12.97000027
276.5947452,13.18999958
277.596559,13.27999973
278.6045421,13.36999989
279.6000874,13.36999989
280.5996799,13.26000023
281.5973005,13.14000034
282.5990512,13.31999969
283.5942693,13.14999962
284.582004,12.76000023
285.597825,12.51000023
286.6024327,12.36999989
287.6013295,12.14000034
288.597204,12.13000011
289.6021406,12.10999966
290.6003336,12.27000046
291.6048332,12.56000042
292.6025331,12.85000038
293.6019618,13.13000011
294.5924842,13.38000011
295.5990442,13.64999962
296.5974871,13.88000011
297.6031685,14.27000046
298.6007521,14.51000023
299.5964455,14.78999996
300.5843009,14.84000015
301.5975964,14.44999981
302.6035263,14.28999996
303.5959629,14.02999973
304.6029388,13.56999969
305.6022072,13.18999958
306.5998953,12.72999954
307.6006519,12.06999969
308.6030683,11.75
309.5928826,11.36999989
310.5825686,10.98999977
311.6008582,10.47999954
312.593777,9.699999809
313.592958,9.520000458
314.6062012,9.5
315.6413645,9.670000076
316.595498,9.840000153
317.5979993,9.529999733
318.6069239,9.159999847
319.5968133,9.210000038
320.6030091,9.140000343
321.6005216,9.180000305
322.6045757,9.390000343
323.5992085,9.760000229
324.6009518,9.81000042
325.5949973,9.93999958
326.6010083,10.25
327.601119,10.56999969
328.5976925,10.82999992
329.6004661,10.81000042
330.5986653,10.88000011
331.595685,10.88000011
332.5973099,11.10000038
333.5975657,11.35000038
334.6016322,11.67000008
335.5949965,11.94999981
336.5929909,12.40999985
337.6012327,12.75
338.601988,13.32999992
339.6050516,13.52000046
340.6023723,13.68999958
341.5983344,14.19999981
342.6014448,14.60000038
343.5954175,14.92000008
344.603781,15.15999985
345.6039168,15.01000023
346.6103548,15.09000015
347.6017737,15.25
348.6022195,15.42000008
349.5989253,15.98999977
350.6037364,16.45999908
351.5920882,16.62000084
352.6054599,16.92000008
353.6065885,17.11000061
354.6010514,17.26000023
355.6058573,17.26000023
356.5987065,17.06999969
357.5966041,17.28000069
358.6060867,16.90999985
359.6006182,17.05999947
360.6052222,17.29999924
361.5991836,17.48999977
362.6003655,17.86000061
363.5981357,17.89999962
364.6022703,17.76000023
365.5876521,17.09000015
366.605885,17.02000046
367.5959274,16.81999969
368.6040639,16.63999939
369.5981,16.18000031
370.6017168,15.85000038
371.6078182,15.57999992
372.6006235,15.25
373.6055558,14.93000031
374.5874216,14.64999962
375.6016498,14.28999996
376.6029389,14.01000023
377.5955595,13.76000023
378.6013205,13.48999977
379.6007367,13.31000042
380.5881745,13.15999985
381.6010261,13.14000034
382.5940699,13.06999969
383.6030927,13.18999958
384.6055523,13.31999969
385.5905079,13.40999985
386.6134352,13.78999996
387.5886677,13.80000019
388.5997991,13.73999977
389.596875,14.03999996
390.6026738,14.17000008
391.6008842,14.14999962
392.5864408,14.14999962
393.6164645,14.19999981
394.5950203,14.07999992
395.5866297,13.90999985
396.5980912,13.73999977
397.5930679,13.60000038
398.5954793,13.56999969
399.5976301,13.47999954
400.5980376,13.48999977
401.6044668,13.64000034
402.6072389,13.53999996
403.6023272,12.34000015
404.5988738,13.03999996
405.6027632,13.36999989
406.6011801,13.78999996
407.5967355,14.25
408.6066053,14.73999977
409.6031942,15.18000031
410.6020104,15.71000004
411.6004929,16.43000031
412.598523,17.03000069
413.60364,16.90999985
414.596652,18.81999969
415.6043927,19.10000038
416.5922181,19.57999992
417.5988561,19.20000076
418.5913846,18.68000031
419.60948,19.55999947
420.6030436,20.17000008
421.590668,20.65999985
422.6105859,20.98999977
423.5941845,20.35000038
424.5961748,19.96999931
425.6040389,19.94000053
426.591975,20.04000092
427.6027781,18.46999931
428.601242,17.30999947
429.5960544,17.25
430.602947,17
431.600951,17.20000076
432.5947385,17.23999977
433.6026252,15.46000004
434.5998433,14.36999989
435.5938083,14.30000019
436.6049129,15.25
437.5991216,15.73999977
438.6039913,14.86999989
439.601783,13.80000019
440.5908869,12.97999954
441.6050895,13.72999954
442.5867018,14.31999969
443.5907096,13.81000042
444.5921664,13.81000042
445.6022144,14.47000027
446.5991631,13.19999981
447.5999315,12.61999989
448.6036367,12.77999973
449.6002553,12.55000019
450.6036944,12.56000042
451.5921459,13
452.6016456,13.77999973
453.6029211,12.61999989
454.5997205,11.17000008
455.6004722,9.979999542
456.5796117,9.640000343
457.5896778,8.430000305
458.601257,8.199999809
459.591942,7.579999924
460.5815884,6.75
461.5964623,7.53000021
462.5844206,8.350000381
463.5955574,7.989999771
464.6023685,7.079999924
465.6028345,6.28000021
466.5956003,6.440000057
467.60037,5.840000153
468.6016403,5.269999981
469.6031477,5.920000076
470.6087295,5.960000038
471.5988675,6.110000134
472.6006572,6.440000057
473.5987899,6.710000038
474.5990311,6.96999979
475.5974417,6.980000019
476.6041143,7.150000095
477.5941545,7
478.5908578,5.260000229
479.6002726,4.610000134
480.602895,5.5
481.6047334,5.860000134
482.6029466,6.170000076
483.5957677,6.429999828
484.6036117,6.78000021
485.5981781,7.059999943
486.6072032,7.199999809
487.5894021,7.409999847
488.6001153,7.590000153
489.5991144,7.769999981
490.6024493,8
491.5990402,8.239999771
492.5963367,7.920000076
493.5978096,7.989999771
494.6020992,8.270000458
495.602743,8.739999771
496.6024893,9.319999695
497.6017189,8.68999958
498.600257,7.46999979
499.5804013,6.840000153
500.6021459,6.489999771
501.602455,7.099999905
502.6052676,6.929999828
503.6019097,6.690000057
504.5934887,6.5
505.5963722,6.300000191
506.5931658,6.619999886
507.5935808,5.75
508.5863689,5.659999847
509.5900548,6.039999962
510.6007838,5.400000095
511.609999,5.630000114
512.5887066,6.03000021
513.5947977,6.940000057
514.5991224,6.349999905
515.5974813,5.159999847
516.5962379,5.710000038
517.5966166,6.610000134
518.5855324,6.789999962
519.5867669,5.699999809
520.5904178,5.679999828
521.5919073,6.360000134
522.6002202,6.880000114
523.5905072,7.25
524.5822879,7.460000038
525.5964371,7.690000057
526.5864633,7.960000038
527.5940974,8.140000343
528.617446,8.479999542
529.6055416,9.510000229
530.6062881,10.05000019
531.5985679,10.31000042
532.5835066,10.69999981
533.5888212,11.02999973
534.6028786,11.35000038
535.6125453,11.55000019
536.5875764,11.90999985
537.5936292,12.06000042
538.5941323,12.19999981
539.5981786,12.31000042
540.6022129,12.25
541.6065596,12.18000031
542.5909109,12.48999977
543.5903297,12.15999985
544.592492,12.02000046
545.589224,11.81000042
546.5976934,11.86999989
547.6006395,11.81000042
548.5950268,12.10999966
549.6010196,12.43000031
550.6015444,12.52999973
551.6074915,12.42000008
552.5950635,11.82999992
553.6013588,11.48999977
554.5967074,11.59000015
555.599574,11.27000046
556.6013693,10.19999981
557.591391,8.479999542
558.5884647,8.010000229
559.5980684,8.279999733
560.5929435,8.590000153
561.5828433,8.760000229
562.5984782,8.960000038
563.603192,8.180000305
564.5958047,6.980000019
565.586769,6.320000172
566.6195531,6.71999979
567.6010521,7.429999828
568.5966864,7.860000134
569.5964031,7.860000134
570.5999977,7.550000191
571.6054046,7.599999905
572.594483,8.210000038
573.595173,8.68999958
574.5970886,8.760000229
575.5978595,8.470000267
576.5974456,8.460000038
577.6060349,8.899999619
578.5948067,8.920000076
579.5933202,9.079999924
580.5946701,8.539999962
581.6036512,7.96999979
582.5934809,7.539999962
583.5910767,7.920000076
584.5922843,8.020000458
585.6021939,8.159999847
586.6116538,8.699999809
587.5918993,8.819999695
588.5865924,8.699999809
589.6077928,8.430000305
590.5996919,8.220000267
591.5976791,8.56000042
592.6006797,7.380000114
593.5970728,7.269999981
594.5950864,7.190000057
595.592353,8.010000229
596.6023345,7.670000076
597.6027756,7.599999905
598.6040147,7.670000076
599.5968588,7.400000095
600.5947087,7.809999943
601.6019096,8.109999657
602.6083105,8.800000191
603.597196,10.64000034
604.597625,12.76000023
605.598594,13.18000031
606.6040375,13.61999989
607.6003829,14.38000011
608.6018949,15.05000019
609.6098185,15.23999977
610.5943548,15.14000034
611.603786,15.38000011
612.5936438,15.42000008
613.5955673,15.32999992
614.5863791,15.53999996
615.6031539,15.43999958
616.5875314,15.43999958
617.5932858,15.32999992
618.5998561,15.10000038
619.5963404,14.97000027
620.5990105,14.81999969
621.593649,14.22000027
622.602154,13.59000015
623.5998717,13.11999989
624.5926309,12.88000011
625.5966884,12.71000004
626.5979993,12.07999992
627.6017677,11.28999996
628.5955604,10.64999962
629.5990787,9.789999962
630.589824,8.729999542
631.5889278,9.319999695
632.5936435,10.36999989
633.5986577,10.65999985
634.5885687,10.60999966
635.5932204,10.56000042
636.5895263,10.5
637.5938985,10.89000034
638.6015181,10.61999989
639.5964426,10.38000011
640.5902465,10.26000023
641.5954853,10.38000011
642.6002384,10.39000034
643.5984576,10.34000015
644.5899069,10.23999977
645.6008379,10.30000019
646.5939603,10.32999992
647.6040651,10.35000038
648.5940581,10.48999977
649.5983862,10.46000004
650.5946784,10.40999985
651.5942549,10.28999996
652.5910393,10.35000038
653.6048416,9.989999771
654.5963026,9.289999962
655.5930876,8.760000229
656.6039628,8.949999809
657.5934992,9.239999771
658.6028518,9.390000343
659.590433,9.489999771
660.6038473,9.729999542
661.5909692,9.949999809
662.5909871,10.36999989
663.596814,11
664.5891964,11.44999981
665.5951447,11.25
666.6042255,11.27999973
667.5975461,11.05000019
668.6025719,11.25
669.5991834,11.52999973
670.599783,11.80000019
671.5941942,11.94999981
672.5981191,12.14999962
674.3823747,13.44999981
675.2887628,13.84000015
676.2890387,13.86999989
677.2878101,14.10000038
678.3060241,14.02000046
679.3055688,14.19999981
680.290868,14.27000046
681.2981452,14.28999996
682.2900949,14.23999977
683.2842635,14.18000031
684.2961021,14.06999969
685.3067476,14.07999992
686.3045726,13.92000008
687.2971536,13.82999992
688.3020463,13.77999973
689.3007445,13.69999981
690.2937837,13.69999981
691.3015919,13.64000034
692.3037538,13.55000019
693.2984678,13.40999985
694.2978571,13.27000046
695.3032772,13.21000004
696.2963741,13.22999954
697.3024638,13.28999996
698.299762,13.34000015
699.2984969,13.47999954
700.2978129,13.56000042
701.2977844,13.76000023
702.2898449,13.81999969
703.2967144,14.02999973
704.2959385,14.11999989
705.3237923,14.14000034
706.304566,14.14999962
707.2946664,14.18999958
708.2871625,14.25
709.2901932,14.23999977
710.2970333,14.34000015
711.2995962,14.35000038
712.3009044,14.40999985
713.3073716,14.5
714.297117,14.51000023
715.3004739,14.5
716.2992416,14.47999954
717.2980938,14.47999954
718.3041309,14.5
719.3007806,14.51000023
720.2925934,14.57999992
721.2921683,14.75
722.2972704,14.97999954
